!	738983
15-month	912
15-year	13174
15.2	548
15.3	592
15.4	721
15.5	1454
15.50	522
15.5p	502
15.6	851
15.7	641
15.8	738
15.9	685
15.99	1961
150	46306
150,000	12846
150-year	520
1500	3706
150bn	983
150ml	1257
150p	571
150th	1383
151	2312
152	2757
15244	515
153	2526
154	2584
155	4070
155,000	509
156	2554
157	2578
158	2526
159	2349
15bn	4205
15p	1608
15th	13302
16	174518
16,000	5139
16-	3133
16-month	600
16-year	13390
16.05.2001	510
16.1	516
16.2	567
16.3	595
16.4	617
16.5	2302
16.50	507
16.6	665
16.7	698
16.8	652
16.9	664
16.99	5313
160	10891
160,000	3133
1600	1133
161	2409
162	2415
163	2069
164	2919
165	3825
165,000	733
166	2429
167	2276
168	2590
169	2563
16bn	1946
16p	950
16th	15680
17	139037
17,000	4412
17,500	718
17-month	543
17-year	13909
17.2	571
17.3	597
17.4	820
17.5	2489
17.50	783
17.6	641
17.7	541
17.8	567
17.9	946
17.99	2274
170	8204
170,000	2064
1700	670
171	2043
172	2352
173	2271
174	2116
175	5941
175,000	1629
176	2105
177	2119
1776	626
178	2219
1789	823
179	2217
1791	509
17bn	1694
17p	948
17th	19128
18	190437
18,000	5301
18-	1739
18-month	3737
18-yard	728
18-year	15301
18.2	549
18.3	574
18.4	561
18.5	1312
18.6	659
18.9	551
18.99	2720
180	12034
180,000	2865
1800	1714
1800s	1273
180c	957
180c/350f	1301
181	1739
1812	872
1815	766
1819	659
182	2014
1820	531
1820s	503
1821	698
1824	509
183	2193
1830	922
1830s	820
1831	525
1832	737
1835	511
1836	528
1837	594
1839	549
184	1930
1840	797
1840s	954
1841	586
1842	546
1843	539
1844	603
1845	632
1846	519
1847	571
1848	1037
1849	550
185	3169
185,000	667
1850	1136
1850s	891
1851	958
1852	509
1853	564
1854	628
1855	618
1856	595
1857	818
1858	642
1859	800
186	2116
1860	1362
1860s	1118
1861	1135
1862	729
1863	716
1864	669
1865	1055
1866	632
1867	728
1868	816
1869	714
187	2075
1870	1279
1870s	1065
1871	901
1872	917
1873	598
1874	650
1875	744
1876	753
1877	701
1878	735
1879	808
188	1931
1880	1115
1880s	1391
1881	826
1882	952
1883	826
1884	959
1885	924
1886	944
1887	770
1888	1412
1889	1084
189	2069
1890	1443
1890s	1524
1891	923
1892	1073
1893	1022
1894	974
1895	1484
1896	1513
1897	1274
1898	1331
1899	1390
18bn	1944
18c	1269
18p	910
18th	26535
19	108746
19,000	2412
19-year	14393
19.2	523
19.5	858
19.95	766
19.99	2503
19.99-£44.99 Lifeline	916
190	4716
190,000	1181
1900	3508
1900s	1188
1901	1900
1902	1617
1903	1701
1904	1910
1905	2131
1906	2162
1907	1758
1908	2434
1909	1993
191	2013
1910	2814
1911	2690
1912	3033
1913	2798
1914	5267
1915	3334
1916	3795
1917	3979
1918	4349
1919	3600
192	2355
1920	3746
1920s	9891
1921	2868
1922	5210
1923	2855
1924	3521
1925	3240
1926	3270
1927	3559
1928	3774
1929	4708
193	1897
1930	4584
1930s	18058
1931	3680
1932	4484
1933	4644
1934	4462
1935	4217
1936	6500
1937	5314
1938	6585
1939	8211
194	1600
1940	7803
1940s	9146
1941	6202
1942	5741
1943	5606
1944	8134
1945	13529
1946	7219
1947	8833
1948	12369
1949	7855
195	2598
